SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,April-15-2021,Single Family Residential,129 S Lafayette Ave,Bremerton,WA,98312,680000,6,3.5,Charleston,3989,8712,1953,182,170,,Sold,,,http://www.redfin.com/WA/Bremerton/129-S-Lafayette-Ave-98312/home/2313049,NWMLS,1737440,N,Y,47.5627576,-122.6569095
PAST SALE,January-8-2021,Single Family Residential,7018 Cormorant Pl,Bremerton,WA,98312,735000,4,3,Kitsap Lake,3954,12197,1993,279,186,13,Sold,,,http://www.redfin.com/WA/Bremerton/7018-Cormorant-Pl-98312/home/2466091,NWMLS,1685152,N,Y,47.5681662,-122.6968439
PAST SALE,September-9-2021,Single Family Residential,205 S Hartford Ave,Bremerton,WA,98312,649777,5,2.5,Charleston,3879,14375,1937,35,168,,Sold,,,http://www.redfin.com/WA/Bremerton/205-S-Hartford-Ave-98312/home/2314446,NWMLS,1812781,N,Y,47.561614,-122.6590148
PAST SALE,October-4-2021,Single Family Residential,1399 Baker Heights (Homesite 78) Loop,Bremerton,WA,98312,754950,5,3,West Bremerton,3417,5663,2021,10,221,50,Sold,,,http://www.redfin.com/WA/Bremerton/1399-Baker-Heights-Loop-98312/home/174757160,NWMLS,1744953,N,Y,47.5524864,-122.6991043
PAST SALE,September-15-2021,Single Family Residential,1427 Baker Heights (Homesite 71) Loop,Bremerton,WA,98312,738950,5,3,West Bremerton,3417,5663,2021,29,216,50,Sold,,,http://www.redfin.com/WA/Bremerton/1427-Baker-Heights-Loop-98312/home/174757188,NWMLS,1744760,N,Y,47.553447,-122.6991612
PAST SALE,August-19-2021,Single Family Residential,1423 Baker Heights (Homesite 72) Loop,Bremerton,WA,98312,729950,5,3,West Bremerton,3417,5663,2021,56,214,50,Sold,,,http://www.redfin.com/WA/Bremerton/1423-Baker-Heights-Loop-98312/home/174757187,NWMLS,1744769,N,Y,47.5533098,-122.6991559
PAST SALE,September-8-2021,Single Family Residential,1407 Baker Heights (Homesite 76) Loop,Bremerton,WA,98312,753950,5,3,West Bremerton,3417,5663,2021,36,221,50,Sold,,,http://www.redfin.com/WA/Bremerton/1407-Baker-Heights-Loop-98312/home/174757183,NWMLS,1744944,N,Y,47.5527609,-122.6991219
PAST SALE,September-10-2021,Single Family Residential,1415 Baker Heights (Homesite 74) Loop,Bremerton,WA,98312,748950,5,3,West Bremerton,3417,5663,2021,34,219,50,Sold,,,http://www.redfin.com/WA/Bremerton/1415-Baker-Heights-Loop-98312/home/174757185,NWMLS,1744785,N,Y,47.5530355,-122.6991403
PAST SALE,September-24-2021,Single Family Residential,1411 Baker Heights (Homesite 75) Loop,Bremerton,WA,98312,758950,5,3,West Bremerton,3417,5663,2021,20,222,50,Sold,,,http://www.redfin.com/WA/Bremerton/1411-Baker-Heights-Loop-98312/home/174757184,NWMLS,1744919,N,Y,47.5528983,-122.6991311
PAST SALE,July-30-2021,Single Family Residential,1121 Baker Heights (Homesite 120) Loop,Bremerton,WA,98312,634950,4,3.5,West Bremerton,3183,5456,2021,76,199,50,Sold,,,http://www.redfin.com/WA/Bremerton/1121-Baker-Heights-Loop-98312/home/174708894,NWMLS,1744135,N,Y,47.5519261,-122.6976674
PAST SALE,June-21-2021,Single Family Residential,1109 Baker Heights (Homesite 123) Loop,Bremerton,WA,98312,624950,4,3.5,West Bremerton,3183,5456,2021,115,196,50,Sold,,,http://www.redfin.com/WA/Bremerton/1109-Baker-Heights-Loop-98312/home/174367236,NWMLS,1725196,N,Y,47.5523378,-122.6976497
PAST SALE,August-9-2021,Single Family Residential,1114 Baker Heights (Homesite 222) Loop,Bremerton,WA,98312,669950,4,3.5,West Bremerton,3183,5456,2021,66,210,50,Sold,,,http://www.redfin.com/WA/Bremerton/1114-Baker-Heights-Loop-98312/home/174789039,NWMLS,1751363,N,Y,47.552159,-122.6969793
PAST SALE,September-29-2021,Single Family Residential,1133 Baker Heights (Homesite 117) Loop,Bremerton,WA,98312,669950,4,3.5,West Bremerton,3183,5456,2021,15,210,50,Sold,,,http://www.redfin.com/WA/Bremerton/1133-Baker-Heights-Loop-98312/home/175089541,NWMLS,1769659,N,Y,47.5515143,-122.6976615
PAST SALE,July-28-2021,Single Family Residential,1117 Baker Heights Loop (Lot 121) Ave,Bremerton,WA,98312,601950,5,3,West Bremerton,3081,5451,2021,78,195,50,Sold,,,http://www.redfin.com/WA/Bremerton/1117-Baker-Heights-Loop-98312/home/174670738,NWMLS,1741580,N,Y,47.5520635,-122.6976645
PAST SALE,August-3-2021,Single Family Residential,1125 Baker Heights Loop (Lot 119) Ave,Bremerton,WA,98312,619950,5,3,West Bremerton,3081,5451,2021,72,201,50,Sold,,,http://www.redfin.com/WA/Bremerton/1125-Baker-Heights-Loop-98312/home/174709160,NWMLS,1748199,N,Y,47.5517888,-122.6976672
PAST SALE,August-13-2021,Single Family Residential,1130 Baker Heights (Homesite 226) Loop,Bremerton,WA,98312,664950,5,3,West Bremerton,3081,5450,2021,62,216,50,Sold,,,http://www.redfin.com/WA/Bremerton/1130-Baker-Heights-Loop-98312/home/174898380,NWMLS,1754652,N,Y,47.5516097,-122.6969825
PAST SALE,August-10-2021,Single Family Residential,1122 Baker Heights (homesite 224) Loop,Bremerton,WA,98312,654950,5,3,West Bremerton,3081,5450,2021,65,213,50,Sold,,,http://www.redfin.com/WA/Bremerton/1122-Baker-Heights-Loop-98312/home/174853312,NWMLS,1751627,N,Y,47.5518843,-122.6969864
PAST SALE,March-3-2021,Single Family Residential,3004 Porter,Bremerton,WA,98312,228777,0,,Charleston,3071,5227,1916,225,74,,Sold,,,http://www.redfin.com/WA/Bremerton/3004-Porter-St-98312/home/2313602,NWMLS,1723717,N,Y,47.5574082,-122.6568807
PAST SALE,June-30-2021,Single Family Residential,6074 Osprey Cir,Bremerton,WA,98312,715000,3,3,Kitsap Lake,2986,13504,1990,106,239,13,Sold,,,http://www.redfin.com/WA/Bremerton/6074-Osprey-Cir-98312/home/2465909,NWMLS,1783279,N,Y,47.5670394,-122.6994807
PAST SALE,July-9-2021,Single Family Residential,740 S Summit Ave,Bremerton,WA,98312,568050,3,2,West Bremerton,2755,13939,1906,97,206,,Sold,,,http://www.redfin.com/WA/Bremerton/740-S-Summit-Ave-98312/home/175271664,NWMLS,1786209,N,Y,47.5551899,-122.6583593
PAST SALE,July-7-2021,Single Family Residential,7004 Osprey Cir,Bremerton,WA,98312,585000,5,3,Kitsap Lake,2742,13504,1993,99,213,,Sold,,,http://www.redfin.com/WA/Bremerton/7004-Osprey-Cir-98312/home/2466016,NWMLS,1782354,N,Y,47.5679583,-122.6949963
PAST SALE,January-7-2021,Single Family Residential,904 Baker Heights (Homesite 193) Loop,Bremerton,WA,98312,539950,4,2.5,West Bremerton,2704,6351,2020,280,200,50,Sold,,,http://www.redfin.com/WA/Bremerton/904-Baker-Heights-Loop-98312/home/173276922,NWMLS,1667987,N,Y,47.5561396,-122.6969904
PAST SALE,October-1-2021,Single Family Residential,1041 Timberline (Homesite 126) Ave,Bremerton,WA,98312,623950,4,2.5,West Bremerton,2704,6205,2021,13,231,50,Sold,,,http://www.redfin.com/WA/Bremerton/1041-Timberline-Ave-98312/home/175136029,NWMLS,1773285,N,Y,47.5526356,-122.6985138
PAST SALE,December-16-2020,Single Family Residential,1506 Baker Heights (Homesite 50) Loop,Bremerton,WA,98312,511950,4,2.5,West Bremerton,2704,5684,2020,302,189,50,Sold,,,http://www.redfin.com/WA/Bremerton/1506-Baker-Heights-Loop-98312/home/172671558,NWMLS,1642714,N,Y,47.5561779,-122.6997892
PAST SALE,May-4-2021,Single Family Residential,931 Baker Heights (Homesite 185) Loop,Bremerton,WA,98312,534950,4,2.5,West Bremerton,2704,5458,2021,163,198,50,Sold,,,http://www.redfin.com/WA/Bremerton/931-Baker-Heights-Loop-98312/home/174130957,NWMLS,1715030,N,Y,47.5551461,-122.697649
PAST SALE,August-5-2021,Single Family Residential,1013 Timberline (Homesite 133) Ave,Bremerton,WA,98312,604950,4,2.5,West Bremerton,2704,5458,2021,70,224,50,Sold,,,http://www.redfin.com/WA/Bremerton/1013-Timberline-Ave-98312/home/174864694,NWMLS,1751575,N,Y,47.5536643,-122.6987243
PAST SALE,July-16-2021,Single Family Residential,1030 Timberline (Homesite 174) Ave,Bremerton,WA,98312,649950,4,2.5,West Bremerton,2704,5458,2021,90,240,50,Sold,,,http://www.redfin.com/WA/Bremerton/1030-Timberline-Ave-98312/home/174641460,NWMLS,1792754,N,Y,47.55316,-122.6980151
PAST SALE,February-26-2021,Single Family Residential,907 Baker Heights (Homesite 191) Loop,Bremerton,WA,98312,504950,4,2.5,West Bremerton,2704,5458,2020,230,187,50,Sold,,,http://www.redfin.com/WA/Bremerton/907-Baker-Heights-Loop-98312/home/173399019,NWMLS,1676266,N,Y,47.555974,-122.6976409
PAST SALE,July-21-2021,Single Family Residential,1029 Timberline (Homesite 129) Ave,Bremerton,WA,98312,592950,4,2.5,West Bremerton,2704,5458,2021,85,219,50,Sold,,,http://www.redfin.com/WA/Bremerton/1029-Timberline-Ave-98312/home/174764707,NWMLS,1744112,N,Y,47.5531155,-122.6986988
PAST SALE,April-28-2021,Single Family Residential,936 Baker Heights (Homesite 201) Loop,Bremerton,WA,98312,569950,4,2.5,West Bremerton,2704,5458,2021,169,211,50,Sold,,,http://www.redfin.com/WA/Bremerton/936-Baker-Heights-Loop-98312/home/174488028,NWMLS,1778178,N,Y,47.5550414,-122.6969517
PAST SALE,May-28-2021,Single Family Residential,1010 Timberline (Homesite 169) Ave,Bremerton,WA,98312,594950,4,2.5,West Bremerton,2704,5458,2020,139,220,50,Sold,,,http://www.redfin.com/WA/Bremerton/1010-Timberline-Ave-98312/home/174530531,NWMLS,1734808,N,Y,47.5538465,-122.6980448
PAST SALE,May-17-2021,Single Family Residential,939 Baker Heights (Homesite 183) Loop,Bremerton,WA,98312,549950,4,2.5,West Bremerton,2704,5458,2021,150,203,50,Sold,,,http://www.redfin.com/WA/Bremerton/939-Baker-Heights-Loop-98312/home/174112546,NWMLS,1725305,N,Y,47.5548762,-122.6976346
PAST SALE,June-7-2021,Single Family Residential,1014 Timberline (Homesite 170) Ave,Bremerton,WA,98312,604950,4,2.5,West Bremerton,2704,5451,2021,129,224,50,Sold,,,http://www.redfin.com/WA/Bremerton/1014-Timberline-Ave-98312/home/174556880,NWMLS,1735343,N,Y,47.5537093,-122.6980406
PAST SALE,March-19-2021,Single Family Residential,920 Baker Heights (Homesite 197) Loop,Bremerton,WA,98312,543950,4,2.5,West Bremerton,2704,5450,2020,209,201,50,Sold,,,http://www.redfin.com/WA/Bremerton/920-Baker-Heights-Loop-98312/home/173641983,NWMLS,1689543,N,Y,47.5555906,-122.6969526
